NAICS8_DESC|NAICS8
Lemons                                            |11132004
Limes                                             |11132005
Other citrus fruits                               |11132006
Tangelos                                          |11132007
Temples                                                                                                                 |11132008
Strawberries and Other Berries|11133001
Apple Orchards                                    |11133100
Grape Vineyards                                   |11133200
Strawberry Farming                                |11133300
Berry (except Strawberry) Farming                 |11133400
Blackberries                                      |11133401
Boysenberries                                     |11133402
Cranberries                                       |11133403
Currants                                          |11133404
Loganberries                                      |11133405
Other berries                                     |11133406
Raspberries                                       |11133407
Blueberries                                       |11133408
Tree Nut Farming                                  |11133500
Almonds                                           |11133501
Walnuts                                           |11133502
Filberts and hazelnuts                            |11133503
Macadamia nuts                                    |11133504
Other nuts                                        |11133505
Pecans|11133506
Pistachios                                        |11133507
Chestnuts|11133508
Other Noncitrus Fruit Farming                     |11133900
Apricots                                          |11133901
Avocados                                          |11133902
Bananas                                           |11133903
Coffee                                            |11133905
Dates                                             |11133906
Figs                                              |11133907
Guavas                                            |11133908
Kiwifruit                                         |11133909
Mangoes                                           |11133910
Nectarines                                        |11133911
Olives                                            |11133912
Other noncitrus fruit                             |11133913
Papayas                                           |11133914
Passion fruit                                     |11133915
Peaches|11133916
Pears|11133917
Persimmons                                        |11133918
Pineapples                                        |11133919
Plums and prunes|11133920
Pomegranates                                      |11133921
Cherries  sweet|11133922
Cherries  tart|11133923
Pluots|11133924
Mushroom Production                               |11141100
Other Food Crops Grown Under Cover                |11141900
Nursery and Tree Production                       |11142100
Bulbs corms rhizomes and tubers (dry)             |11142101
Cut Christmas trees harvested                     |11142102
Nursery crops                                     |11142103
Sod                                               |11142104
Other nursery and greenhouse crops                |11142105
Floriculture Production                           |11142200
Floriculture crops excl seeds                     |11142201
Vegetable and flower seeds                        |11142202
Tobacco Farming                                   |11191000
Cotton Farming                                    |11192000
Cotton Lint|11192001
Cotton Seed|11192002
Sugarcane Farming                                 |11193000
Hay Farming                                       |11194000
Forage (Hay grass silage and greenchop)|11194001
Sugar Beet Farming                                |11199100
All Other Miscellaneous Crop Farming              |11199800
Maple Syrup|11199801
Hops|11199803
Mint for oil, all|11199804
Taro|11199805
Cattle Ranching and Farming|11210000
Calves under 500 lbs sold|11210001
Cattle and Calves over 500 lbs sold|11210002
Beef Cattle Ranching and Farming                  |11211100
Beef Calves sold                                       |11211101
Beef Cattle sold                                       |11211102
Beef Cattle and Calf Consumed on Farm|11211103
Cattle Feedlots                                   |11211200
Dairy Cattle and Milk Production                  |11212000
Marketed Milk Production|11212001
Milk Production Consumed on Farm|11212002
Hog and Pig Farming                               |11221000
Hog and Pig sold|11221001
Hog and Pig Consumed on Farm|11221002
Chicken Egg Production                            |11231000
Table Eggs|11231001
Hatching Eggs|11231002
Broilers and Other Meat Type Chicken Production   |11232000
Broilers|11232001
Meat chickens|11232002
Turkey Production|11233000
Poultry Hatcheries                                |11234000
Other Poultry Production                          |11239000
Sheep Farming                                     |11241000
Sheep and Lamb sold|11241001
Wool sold|11241002
Sheep and Lamb Consumed on Farm|11241003
Goat Farming                                      |11242000
Angora Goats|11242001
Milk Goats |11242002
Meat and Other Goats |11242003
Mohair from Angora Goats|11242004
Goat Milk|11242005
Animal Aquaculture                                |11251000
Finfish farming                                 |11251100
CATFISH |11251101
TROUT |11251102
OTHER FOOD FISH|11251103
BAITFISH |11251104
ORNAMENTAL FISH |11251105
SPORT OR GAME FISH |11251106
Shellfish farming                                 |11251200
CRUSTACEANS |11251201
MOLLUSKS |11251202
Other animal aquaculture                          |11251900
Other animal production nec|11290001
Apiculture                                        |11291000
Honey |11291001
Bees and bee products other than honey|11291002
Horse and Other Equine Production                 |11292000
Horse and ponies|11292001
Mules burros and donkeys|11292002
Fur-Bearing Animal and Rabbit Production          |11293000
All Other Animal Production                       |11299000
Bison|11299001
Other Animal Production|11299009
Timber Tract Operations|11311000
Forest Nurseries and Gathering of Forest Products|11321000
Logging|11331000
Finfish Fishing|11411100
Shellfish Fishing|11411200
Other Marine Fishing|11411900
Hunting and Trapping|11421000
Cotton Ginning|11511100
Soil Preparation, Planting, and Cultivating|11511200
Crop Harvesting, Primarily by Machine|11511300
Postharvest Crop Activities (except Cotton Ginning)|11511400
Farm Labor Contractors and Crew Leaders|11511500
Farm Management Services|11511600
Support Activities for Animal Production|11521000
Support Activities for Forestry|11531000
Crude petroleum & natural gas extraction|21111100
Natural gas liquid extraction|21111200
Bituminous coal & lignite surface mining|21211100
Bituminous coal underground mining|21211200
Anthracite mining|21211300
Iron ore mining|21221000
Gold ore mining|21222100
Silver ore mining|21222200
Lead ore & zinc ore mining|21223100
Copper ore & nickel ore mining|21223400
Uranium-radium-vanadium ore mining|21229100
All other metal ore mining|21229900
Dimension stone mining & quarrying|21231100
Crushed & broken limestone mining & quarrying|21231200
Crushed & broken granite mining & quarrying|21231300
Other crushed & broken stone mining & quarrying|21231900
Construction sand & gravel mining|21232100
Industrial sand mining|21232200
Kaolin & ball clay mining|21232400
Clay & ceramic & refractory minerals mining|21232500
Potash, soda, & borate mineral mining|21239100
Phosphate rock mining|21239200
Other chemical & fertilizer mineral mining|21239300
All other nonmetallic mineral mining|21239900
Drilling oil & gas wells|21311100
Support activities for oil & gas operations|21311200
Support activities for coal mining|21311300
Support activities for metal mining|21311400
Support activities for nonmetallic minerals (except fuels)|21311500
Hydroelectric power generation|22111100
Fossil fuel electric power generation|22111200
Nuclear electric power generation|22111300
Other electric power generation|22111900
Electric bulk power transmission & control|22112100
Electric power distribution|22112200
Natural gas distribution|22121000
Water supply & irrigation systems|22131000
Sewage treatment facilities|22132000
Steam & air-conditioning supply|22133000
Land subdivision & land development|23311000
Single-family housing construction|23321000
Multifamily housing construction|23322000
Mfg & industrial building construction|23331000
Commercial & institutional building construction|23332000
Highway & street construction|23411000
Bridge & tunnel construction|23412000
Water, sewer, & pipeline construction|23491000
Power & communication transmission line construction|23492000
Industrial nonbuilding structure construction|23493000
All other heavy construction|23499000
Plumbing, heating, & air-conditioning contractors|23511000
Painting & wall covering contractors|23521000
Electrical contractors|23531000
Masonry & stone contractors|23541000
Drywall, plastering, acoustical, & insulation contractors|23542000
Tile, marble, terrazzo, & mosaic contractors|23543000
Carpentry contractors|23551000
Floor laying & other floor contractors|23552000
Roofing, siding, & sheet metal contractors|23561000
Concrete contractors|23571000
Water well drilling contractors|23581000
Structural steel erection contractors|23591000
Glass & glazing contractors|23592000
Excavation contractors|23593000
Wrecking & demolition contractors|23594000
Building equip & other machinery installation contractors|23595000
All other special trade contractors|23599000
Dog & cat food mfg|31111100
Other animal food mfg|31111900
Flour milling|31121100
Rice milling|31121200
Malt mfg|31121300
Wet corn milling|31122100
Soybean processing|31122200
Other oilseed processing|31122300
Fats & oils refining & blending|31122500
Breakfast cereal mfg|31123000
Sugarcane mills|31131100
Cane sugar refining|31131200
Beet sugar mfg|31131300
Chocolate & confectionery mfg from cacao beans|31132000
Confectionery mfg from purchased chocolate|31133000
Nonchocolate confectionery mfg|31134000
Frozen fruit, juice, & vegetable mfg|31141100
Frozen specialty food mfg|31141200
Fruit & vegetable canning|31142100
Specialty canning|31142200
Dried & dehydrated food mfg|31142300
Fluid milk mfg|31151100
Creamery butter mfg|31151200
Cheese mfg|31151300
Dry, condensed, & evaporated dairy product mfg|31151400
Ice cream & frozen dessert mfg|31152000
Animal (except poultry) slaughtering|31161100
Meat processed from carcasses|31161200
Rendering & meat byproduct processing|31161300
Poultry processing|31161500
Seafood canning|31171100
Fresh & frozen seafood processing|31171200
Retail bakeries|31181100
Commercial bakeries|31181200
Frozen cakes, pies, & other pastries mfg|31181300
Cookie & cracker mfg|31182100
Flour mixes & dough mfg from purchased flour|31182200
Dry pasta mfg|31182300
Tortilla mfg|31183000
Roasted nuts & peanut butter mfg|31191100
Other snack food mfg|31191900
Coffee & tea mfg|31192000
Flavoring syrup & concentrate mfg|31193000
Mayonnaise, dressing, & other prepared sauce mfg|31194100
Spice & extract mfg|31194200
Perishable prepared food mfg|31199100
All other miscellaneous food mfg|31199900
Soft drink mfg|31211100
Bottled water mfg|31211200
Ice mfg|31211300
Breweries|31212000
Wineries|31213000
Distilleries|31214000
Tobacco stemming & redrying|31221000
Cigarette mfg|31222100
Other tobacco product mfg|31222900
Yarn spinning mills|31311100
Yarn texturing, throwing, & twisting mills|31311200
Thread mills|31311300
Broadwoven fabric mills|31321000
Narrow fabric mills|31322100
Schiffli machine embroidery|31322200
Nonwoven fabric mills|31323000
Weft knit fabric mills|31324100
Other knit fabric & lace mills|31324900
Broadwoven fabric finishing mills|31331100
Textile & fabric finishing mills|31331200
Fabric coating mills|31332000
Carpet & rug mills|31411000
Curtain & drapery mills|31412100
Other household textile product mills|31412900
Textile bag mills|31491100
Canvas & related product mills|31491200
Rope, cordage, & twine mills|31499100
Tire cord & tire fabric mills|31499200
All other miscellaneous textile product mills|31499900
Sheer hosiery mills|31511100
Other hosiery & sock mills|31511900
Outerwear knitting mills|31519100
Underwear & nightwear knitting mills|31519200
Men's & boys' cut & sew apparel contractors|31521100
Women's, girls', & infants' cut & sew apparel contractors|31521200
Men's & boys' cut & sew underwear & nightwear mfg|31522100
Men's & boys' cut & sew suit, coat, & overcoat mfg|31522200
Men's & boys' cut & sew shirt (exc work shirt) mfg|31522300
Men's & boys' cut & sew trouser, slack, & jean mfg|31522400
Men's & boys' cut & sew work clothing mfg|31522500
Men's & boys' cut & sew other outerwear mfg|31522800
Women's & girls' cut/sew lingerie & nightwear mfg|31523100
Women's & girls' cut & sew blouse & shirt mfg|31523200
Women's & girls' cut & sew dress mfg|31523300
Women's & girls' cut & sew suit, coat, skirt mfg|31523400
Women's & girls' cut & sew other outerwear mfg|31523900
Infants' cut & sew apparel mfg|31529100
Fur & leather apparel mfg|31529200
All other cut & sew apparel mfg|31529900
Hat, cap, & millinery mfg|31599100
Glove & mitten mfg|31599200
Men's & boys' neckwear mfg|31599300
Other apparel accessories & other apparel mfg|31599900
Leather & hide tanning & finishing|31611000
Rubber & plastics footwear mfg|31621100
House slipper mfg|31621200
Men's footwear (except athletic) mfg|31621300
Women's footwear (except athletic) mfg|31621400
Other footwear mfg|31621900
Luggage mfg|31699100
Women's handbag & purse mfg|31699200
Personal leather good (except women's handbag & purse) mfg|31699300
All other leather good mfg|31699900
Sawmills|32111300
Wood preservation|32111400
Hardwood veneer & plywood mfg|32121100
Softwood veneer & plywood mfg|32121200
Engineered wood member (except truss) mfg|32121300
Truss mfg|32121400
Reconstituted wood product mfg|32121900
Wood window & door mfg|32191100
Cut stock, resawing lumber, & planing|32191200
Other millwork (including flooring)|32191800
Wood container & pallet mfg|32192000
Manufactured home (mobile home) mfg|32199100
Prefabricated wood building mfg|32199200
All other miscellaneous wood product mfg|32199900
Pulp mills|32211000
Paper (except newsprint) mills|32212100
Newsprint mills|32212200
Paperboard mills|32213000
Corrugated & solid fiber box mfg|32221100
Folding paperboard box mfg|32221200
Setup paperboard box mfg|32221300
Fiber can, tube, drum, & similar products mfg|32221400
Nonfolding sanitary food container mfg|32221500
Coated & laminated packaging paper & plastics film mfg|32222100
Coated & laminated paper mfg|32222200
Plastics, foil, & coated paper bag mfg|32222300
Uncoated paper & multiwall bag mfg|32222400
Laminated aluminum foil mfg for flexible packaging uses|32222500
Surface-coated paperboard mfg|32222600
Die-cut paper & paperboard office supplies mfg|32223100
Envelope mfg|32223200
Stationery, tablet, & related product mfg|32223300
Sanitary paper product mfg|32229100
All other converted paper product mfg|32229900
Commercial lithographic printing|32311000
Commercial gravure printing|32311100
Commercial flexographic printing|32311200
Commercial screen printing|32311300
Quick printing|32311400
Digital printing|32311500
Manifold business form printing|32311600
Book printing|32311700
Blankbook, looseleaf binder, & device mfg|32311800
Other commercial printing|32311900
Tradebinding & related work|32312100
Prepress services|32312200
Petroleum refineries|32411000
Asphalt paving mixture & block mfg|32412100
Asphalt shingle & coating materials mfg|32412200
Petroleum lubricating oil & grease mfg|32419100
All other petroleum & coal products mfg|32419900
Petrochemical mfg|32511000
Industrial gas mfg|32512000
Inorganic dye & pigment mfg|32513100
Synthetic organic dye & pigment mfg|32513200
Alkalies & chlorine mfg|32518100
Carbon black mfg|32518200
All other basic inorganic chemical mfg|32518800
Gum & wood chemical mfg|32519100
Cyclic crude & intermediate mfg|32519200
Ethyl alcohol mfg|32519300
All other basic organic chemical mfg|32519900
Plastics material & resin mfg|32521100
Synthetic rubber mfg|32521200
Cellulosic organic fiber mfg|32522100
Noncellulosic organic fiber mfg|32522200
Nitrogenous fertilizer mfg|32531100
Phosphatic fertilizer mfg|32531200
Fertilizer (mixing only) mfg|32531400
Pesticide & other agricultural chemical mfg|32532000
Medicinal & botanical mfg|32541100
Pharmaceutical preparation mfg|32541200
In-vitro diagnostic substance mfg|32541300
Biological product (except diagnostic) mfg|32541400
Paint & coating mfg|32551000
Adhesive mfg|32552000
Soap & other detergent mfg|32561100
Polish & other sanitation good mfg|32561200
Surface active agent mfg|32561300
Toilet preparation mfg|32562000
Printing ink mfg|32591000
Explosives mfg|32592000
Custom compounding of purchased resin|32599100
Photographic film, paper, plate, & chemical mfg|32599200
All other miscellaneous chemical product & preparation mfg|32599800
Unsupported plastics bag mfg|32611100
Unsupported plastics packaging film & sheet mfg|32611200
Unsupported plastics film & sheet (except packaging) mfg|32611300
Unsupported plastics profile shape mfg|32612100
Plastics pipe & pipe fitting mfg|32612200
Laminated plastics plate, sheet, & shape mfg|32613000
Polystyrene foam product mfg|32614000
Urethane & other foam product (except polystyrene) mfg|32615000
Plastics bottle mfg|32616000
Plastics plumbing fixture mfg|32619100
Resilient floor covering mfg|32619200
All other plastics product mfg|32619900
Tire mfg (except retreading)|32621100
Tire retreading|32621200
Rubber & plastics hoses & belting mfg|32622000
Rubber product mfg for mechanical use|32629100
All other rubber product mfg|32629900
Vitreous china plumbing fixture & bathroom accessories mfg|32711100
Vitreous china, fine earthenware, & other pottery product mfg|32711200
Porcelain electrical supply mfg|32711300
Brick & structural clay tile mfg|32712100
Ceramic wall & floor tile mfg|32712200
Other structural clay product mfg|32712300
Clay refractory mfg|32712400
Nonclay refractory mfg|32712500
Flat glass mfg|32721100
Other pressed & blown glass & glassware mfg|32721200
Glass container mfg|32721300
Glass product mfg made of purchased glass|32721500
Cement mfg|32731000
Ready-mix concrete mfg|32732000
Concrete block & brick mfg|32733100
Concrete pipe mfg|32733200
Other concrete product mfg|32739000
Lime mfg|32741000
Gypsum product mfg|32742000
Abrasive product mfg|32791000
Cut stone & stone product mfg|32799100
Ground or treated mineral & earth mfg|32799200
Mineral wool mfg|32799300
All other miscellaneous nonmetallic mineral product mfg|32799900
Iron & steel mills|33111100
Electrometallurgical ferroalloy product mfg|33111200
Iron & steel pipes & tubes mfg from purchased steel|33121000
Cold-rolled steel shape mfg|33122100
Steel wire drawing|33122200
Alumina refining|33131100
Primary aluminum production|33131200
Secondary smelting & alloying of aluminum|33131400
Aluminum sheet, plate, & foil mfg|33131500
Aluminum extruded product mfg|33131600
Other aluminum rolling & drawing|33131900
Primary smelting & refining of copper|33141100
Other nonferrous metal primary smelting & refining|33141900
Copper rolling, drawing, & extruding|33142100
Copper wire (except mechanical) drawing|33142200
Secondary smelting, refining, & alloying of copper|33142300
Other nonferrous metal rolling, drawing, & extruding|33149100
Other nonferrous metal secondary smelting, refining, & alloying|33149200
Iron foundries|33151100
Steel investment foundries|33151200
Steel foundries (except investment)|33151300
Aluminum die-casting foundries|33152100
Nonferrous (except aluminum) die-casting foundries|33152200
Aluminum foundries (except die-casting)|33152400
Copper foundries (except die-casting)|33152500
Other nonferrous foundries (except die-casting)|33152800
Iron & steel forging|33211100
Nonferrous forging|33211200
Custom roll forming|33211400
Crown & closure mfg|33211500
Metal stamping|33211600
Powder metallurgy part mfg|33211700
Cutlery & flatware (except precious) mfg|33221100
Hand & edge tool mfg|33221200
Saw blade & handsaw mfg|33221300
Kitchen utensil, pot, & pan mfg|33221400
Prefabricated metal building & component mfg|33231100
Fabricated structural metal mfg|33231200
Plate work mfg|33231300
Metal window & door mfg|33232100
Sheet metal work mfg|33232200
Ornamental & architectural metal work mfg|33232300
Power boiler & heat exchanger mfg|33241000
Metal tank (heavy gauge) mfg|33242000
Metal can mfg|33243100
Other metal container mfg|33243900
Hardware mfg|33251000
Spring (heavy gauge) mfg|33261100
Spring (light gauge) mfg|33261200
Other fabricated wire product mfg|33261800
Machine shops|33271000
Precision turned product mfg|33272100
Bolt, nut, screw, rivet, & washer mfg|33272200
Metal heat treating|33281100
Metal coating/engraving (exc jewelry/silverware)/allied services|33281200
Electroplating, plating, polishing, anodizing, & coloring|33281300
Industrial valve mfg|33291100
Fluid power valve & hose fitting mfg|33291200
Plumbing fixture fitting & trim mfg|33291300
Other metal valve & pipe fitting mfg|33291900
Ball & roller bearing mfg|33299100
Small arms ammunition mfg|33299200
Ammunition (except small arms) mfg|33299300
Small arms mfg|33299400
Other ordnance & accessories mfg|33299500
Fabricated pipe & pipe fitting mfg|33299600
Industrial pattern mfg|33299700
Enameled iron & metal sanitary ware mfg|33299800
All other miscellaneous fabricated metal product mfg|33299900
Farm machinery & equipment mfg|33311100
Lawn & garden tractor & home lawn & garden equipment mfg|33311200
Construction machinery mfg|33312000
Mining machinery & equipment mfg|33313100
Oil & gas field machinery & equipment mfg|33313200
Sawmill & woodworking machinery mfg|33321000
Plastics & rubber industry machinery mfg|33322000
Paper industry machinery mfg|33329100
Textile machinery mfg|33329200
Printing machinery & equipment mfg|33329300
Food product machinery mfg|33329400
Semiconductor machinery mfg|33329500
All other industrial machinery mfg|33329800
Automatic vending machine mfg|33331100
Commercial laundry, drycleaning, & pressing machine mfg|33331200
Office machinery mfg|33331300
Optical instrument & lens mfg|33331400
Photographic & photocopying equipment mfg|33331500
Other commercial & service industry machinery mfg|33331900
Air purification equipment mfg|33341100
Industrial & commercial fan & blower mfg|33341200
Heating equipment (except warm air furnaces) mfg|33341400
AC & warm air heating & commercial/industrial refrig equip mfg|33341500
Industrial mold mfg|33351100
Machine tool (metal cutting types) mfg|33351200
Machine tool (metal forming types) mfg|33351300
Special die & tool, die set, jig, & fixture mfg|33351400
Cutting tool & machine tool accessory mfg|33351500
Rolling mill machinery & equipment mfg|33351600
Other metalworking machinery mfg|33351800
Turbine & turbine generator set unit mfg|33361100
Speed changer, industrial high-speed drive, & gear mfg|33361200
Mechanical power transmission equipment mfg|33361300
Other engine equipment mfg|33361800
Pump & pumping equipment mfg|33391100
Air & gas compressor mfg|33391200
Measuring & dispensing pump mfg|33391300
Elevator & moving stairway mfg|33392100
Conveyor & conveying equipment mfg|33392200
Overhead traveling crane, hoist, & monorail system mfg|33392300
Industrial truck, tractor, trailer, & stacker machinery mfg|33392400
Power-driven handtool mfg|33399100
Welding & soldering equipment mfg|33399200
Packaging machinery mfg|33399300
Industrial process furnace & oven mfg|33399400
Fluid power cylinder & actuator mfg|33399500
Fluid power pump & motor mfg|33399600
Scale & balance (except laboratory) mfg|33399700
All other miscellaneous general-purpose machinery mfg|33399900
Electronic computer mfg|33411100
Computer storage device mfg|33411200
Computer terminal mfg|33411300
Other computer peripheral equipment mfg|33411900
Telephone apparatus mfg|33421000
Radio & TV broadcasting & wireless communications equipment mfg|33422000
Other communications equipment mfg|33429000
Audio & video equipment mfg|33431000
Electron tube mfg|33441100
Bare printed circuit board mfg|33441200
Semiconductor & related device mfg|33441300
Electronic capacitor mfg|33441400
Electronic resistor mfg|33441500
Electronic coil, transformer, & other inductor mfg|33441600
Electronic connector mfg|33441700
Printed circuit assembly (electronic assembly) mfg|33441800
Other electronic component mfg|33441900
Electromedical & electrotherapeutic apparatus mfg|33451000
Search, detection, navigation, & guidance instrument mfg|33451100
Automatic environmental control mfg|33451200
Industrial process control instrument mfg|33451300
Totalizing fluid meter & counting device mfg|33451400
Electricity measuring & testing instrument mfg|33451500
Analytical laboratory instrument mfg|33451600
Irradiation apparatus mfg|33451700
Watch, clock, & part mfg|33451800
Other measuring & controlling device mfg|33451900
Software reproducing|33461100
Prerecorded CD (except software), tape, & record reproducing|33461200
Magnetic & optical recording media mfg|33461300
Electric lamp bulb & part mfg|33511000
Residential electric lighting fixture mfg|33512100
Commercial/industrial/institutional electric lighting fixture mfg|33512200
Other lighting equipment mfg|33512900
Electric housewares & household fan mfg|33521100
Household vacuum cleaner mfg|33521200
Household cooking appliance mfg|33522100
Household refrigerator & home freezer mfg|33522200
Household laundry equipment mfg|33522400
Other major household appliance mfg|33522800
Power, distribution, & specialty transformer mfg|33531100
Motor & generator mfg|33531200
Switchgear & switchboard apparatus mfg|33531300
Relay & industrial control mfg|33531400
Storage battery mfg|33591100
Primary battery mfg|33591200
Fiber optic cable mfg|33592100
Other communication & energy wire mfg|33592900
Current-carrying wiring device mfg|33593100
Noncurrent-carrying wiring device mfg|33593200
Carbon & graphite product mfg|33599100
All other miscellaneous electrical equipment & component mfg|33599900
Automobile mfg|33611100
Light truck & utility vehicle mfg|33611200
Heavy duty truck mfg|33612000
Motor vehicle body mfg|33621100
Truck trailer mfg|33621200
Motor home mfg|33621300
Travel trailer & camper mfg|33621400
Carburetor, piston, piston ring, & valve mfg|33631100
Gasoline engine & engine parts mfg|33631200
Vehicular lighting equipment mfg|33632100
Other motor vehicle electrical & electronic equipment mfg|33632200
Motor vehicle steering & suspension component (except spring) mfg|33633000
Motor vehicle brake system mfg|33634000
Motor vehicle transmission & power train parts mfg|33635000
Motor vehicle seating & interior trim mfg|33636000
Motor vehicle metal stamping|33637000
Motor vehicle air-conditioning mfg|33639100
All other motor vehicle parts mfg|33639900
Aircraft mfg|33641100
Aircraft engine & engine parts mfg|33641200
Other aircraft part & auxiliary equipment mfg|33641300
Guided missile & space vehicle mfg|33641400
Guided missile & space vehicle propulsion unit & parts mfg|33641500
Other guided missile & space vehicle parts & auxiliary equip mfg|33641900
Railroad rolling stock mfg|33651000
Ship building & repairing|33661100
Boat building|33661200
Motorcycle, bicycle, & parts mfg|33699100
Military armored vehicle, tank, & tank component mfg|33699200
All other transportation equipment mfg|33699900
Wood kitchen cabinet & counter top mfg|33711000
Upholstered household furniture mfg|33712100
Nonupholstered wood household furniture mfg|33712200
Metal household furniture mfg|33712400
Household furniture (except wood & metal) mfg|33712500
Institutional furniture mfg|33712700
Wood television, radio, & sewing machine cabinet mfg|33712900
Wood office furniture mfg|33721100
Custom architectural woodwork & millwork mfg|33721200
Office furniture (except wood) mfg|33721400
Showcase, partition, shelving, & locker mfg|33721500
Mattress mfg|33791000
Blind & shade mfg|33792000
Laboratory apparatus & furniture mfg|33911100
Surgical & medical instrument mfg|33911200
Surgical appliance & supplies mfg|33911300
Dental equipment & supplies mfg|33911400
Ophthalmic goods mfg|33911500
Dental laboratories|33911600
Jewelry (except costume) mfg|33991100
Silverware & plated ware mfg|33991200
Jewelers' material & lapidary work mfg|33991300
Costume jewelry & novelty mfg|33991400
Sporting & athletic goods mfg|33992000
Doll & stuffed toy mfg|33993100
Game, toy, & children's vehicle mfg|33993200
Pen & mechanical pencil mfg|33994100
Lead pencil & art good mfg|33994200
Marking device mfg|33994300
Carbon paper & inked ribbon mfg|33994400
Sign mfg|33995000
Gasket, packing, & sealing device mfg|33999100
Musical instrument mfg|33999200
Fastener, button, needle, & pin mfg|33999300
Broom, brush, & mop mfg|33999400
Burial casket mfg|33999500
All other miscellaneous mfg|33999900
Automobile & other motor vehicle whsle|42111000
Motor vehicle supplies & new parts whsle|42112000
Tire & tube whsle|42113000
Motor vehicle parts, (used) whsle|42114000
Furniture whsle|42121000
Home furnishings whsle|42122000
Lumber, plywood, millwork, & wood panel whsle|42131000
Brick, stone, & related construction materials whsle|42132000
Roofing, siding, & insulation material whsle|42133000
Other construction materials whsle|42139000
Photographic equipment & supplies whsle|42141000
Office equipment whsle|42142000
Computer & computer peripheral equipment & software whsle|42143000
Other commercial equipment whsle|42144000
Medical, dental, & hospital equipment & supplies whsle|42145000
Ophthalmic goods whsle|42146000
Other professional equipment & supplies whsle|42149000
Metal service centers & offices|42151000
Coal & other mineral & ore whsle|42152000
Electrical apparatus & equip, wiring supp, & const material whsle|42161000
Electrical appliance, television & radio set whsle|42162000
Other electronic parts & equipment whsle|42169000
Hardware whsle|42171000
